Algeria
Angola
Benin
Botswana
Bahrain
Burkina Faso
Burundi
Cameroon
Cape Verde
Chad
Comoros
Côte d'Ivoire
Democratic Republic of the Congo
Djibouti
Egypt
Eritrea
Ethiopia
Gabon
Gambia
Guinea
Guinea-Bissau
Kenya
Lesotho
Madagascar
Malawi
Mali
Mauritania
Mauritius
Mayotte
Micronesia
Morocco
Mozambique
Namibia
Niger
Nigeria
Republic of the Congo
Reunion
Rwanda
Saint Helena
Sao Tome and Principe
Senegal
Seychelles
Sierra Leone
Somalia
South Africa
Swaziland
Tanzania
Togo
Tunisia
Uganda
Zambia
Zimbabwe
