アルジェリア
ウガンダ
エジプト
エチオピア
ガーナ
ガボン
ケニア
コートジボワール
シエラレオネ
ジブチ
ジンバブエ
スーダン
セネガル
タンザニア
チュニジア
トーゴ
ナイジェリア
ボツワナ
マダガスカル
南アフリカ共和国
モーリシャス
モロッコ
ルワンダ
