インド
インドネシア
大韓民国 (韓国)
カンボジア
グアム
サイパン(北マリアナ諸島)
シンガポール
スリランカ
タイ
台湾
中華人民共和国 (中国)
ネパール
パキスタン
バングラデシュ
フィリピン
ブータン
ブルネイ・ダルサラーム
ベトナム
香港
マカオ
マレーシア
ミャンマー
モルディブ
モンゴル
ラオス人民民主共和国
