1,25,35,40,55
2,39,54,60,94
3,53,73,82,135
4,66,92,104,175
5,81,112,127,214
6,88,122,139,233
7,103,142,163,271
8,117,162,186,309
9,125,172,198,328
10,132,182,210,347
11,146,202,234,385
12,154,212,245,405
13,168,232,269,443
14,175,242,281,462
15,190,262,305,500
16,197,272,316,519
17,212,292,340,557
18,219,302,352,576
19,234,322,375,615
20,241,332,387,634
