Armenia
Australia
Bahrain
Bhutan
Brunei
Cambodia
China
Cook Islands
Fiji
French Polynesia
Hong Kong
India
Indonesia
Israel
Japan
Jordan
Kazakhstan
Kiribati
Kuwait
Kyrgyzstan
Laos
Malaysia
Maldives
Marshall Islands
Federated States of Micronesia
Mongolia
Nauru
Nepal
New Caledonia
New Zealand
Niue
Norfolk Island
Oman
Palau
Papua New Guinea
Philippines
Pitcairn Islands
Qatar
Samoa
Saudi Arabia
Singapore
Solomon Islands
South Korea
Sri Lanka
Taiwan
Tajikistan
Thailand
Tonga
Turkmenistan
Tuvalu
United Arab Emirates
Vanuatu
Viet Nam
Wallis and Futuna
Yemen
