60,1500,1500,1500,1500,1500,1500,1500,1500
80,900,970,1070,1180,1280,1390,1510,1610
100,1130,1180,1280,1400,1500,1600,1730,1830
120,1340,1400,1500,1610,1720,1820,1940,2040
140,1560,1610,1720,1830,1930,2030,2160,2260
160,1780,1830,1930,2040,2150,2250,2370,2480
170,2070,2140,2250,2360,2460,2570,2710,2810
