インド
インドネシア
大韓民国 (韓国)
カンボジア
グアム
サイパン
シンガポール
スリランカ
タイ
台湾
中華人民共和国 (中国)
ネパール
パキスタン
バングラデシュ
フィリピン
ブータン
ブルネイ
ベトナム
香港
マカオ
マレーシア
ミャンマー
モルディブ
モンゴル
ラオス
